一,一,yī,"det.: one yī: 
接受,接受,jiēshòu,"receive (honors, have, receive, acknowledge, sweep up, espouse, etc.), come to grips, adopt, embrace, greet, welcome, hook on, seize on, take up, accede, taken, entertain, latch on, buy, fasten on, swallow, imbibe, accept, receive (honors/etc.), undergo, get to grips, take, adapt, acceptance, thole"
知,知,zhī,"tell, notify, inform, be expert in, know, sense, be aware of, administration, notification, administer, be in charge of, realize zhī: Duration: 2 seconds.0:02"
約,约,yuē,"about, around"
一般,一般,yībān,"general, ordinary, common"
推動,推动,tuīdòng,"push forward, promote"
過程,过程,guòchéng,"unconscious process, mechanism, process, act, round, course"
管理,管理,guǎnlǐ,"manage, supervise, take care of"
功能,功能,gōngnéng,"functional, niche, function, competence, capacity, anatomy"
手,手,shǒu,hand shǒu: Duration: 2 seconds.0:02
打,打,dǎ,"generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix dǎ: Duration: 1 second.0:01"
水,水,shuǐ,"water, H2O, liquid, bubble, a general term for rivers, lakes, seas, etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua"
要求,要求,yāoqiú,"request, demand"
小朋友,小朋友,xiǎopéngyǒu,"child (adult address to child), little boy, children, little boy/girl, girl, little girl, little boy or girl, child"
教授,教授,jiàoshòu,professor
難,难,nán,"make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame"
我國,我国,wǒguó,our country
告訴,告诉,gàosù,"tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know"
內容,内容,nèiróng,"subject_matter, content, cognitive content, internal, contents, mental object, meat, substance, matter, lining"
結果,结果,jiéguǒ,"result, outcome, consequence"
調查,调查,diàochá,"investigate, look into, survey"
家庭,家庭,jiātíng,"hearthstone, background, fireside, establishment, household, hearth, domestic, hearthside, menage, home, family unit, family, house"
成立,成立,chénglì,"found, establish, be tenable, hold water"
選擇,选择,xuǎnzé,"select, opt"
經營,经营,jīngyíng,"manage, run, engage in"
然而,然而,ránér,"conj.: even so, but"
父母,父母,fùmǔ,"parental, parents, father and mother, folks"
寫,写,xiě,"description, bewrite, direct, describe, pencil, draw, paint, inscribe, write, depiction, write_out, throw_off, depict, address, author, screeve, word, compose xiě: Duration: 2 seconds.0:02"
人類,人类,rénlèi,"man, wight, human_being, human, human race, mankind, individual, human species, Homo_sapiens, populace, creature, hominid, world, mortality, microcosm, humans, humanitarianism, humanity, humanness, human beings/species, people, species, humankind, human beings, public, mortal"
至於,至于,zhìyū,as for/to
買,买,mǎi,"pick up, invest, hire, buy, purchase, put_down, trade, get mǎi: Duration: 2 seconds.0:02"
尤其,尤其,yóuqí,especially
配合,配合,pèihé,"coordinate, cooperate"
進入,进入,jìnrù,"go_into, get_in, debouch, get in, go into, move into, come_into, pass, step_in, lapse, get_into, set in, go in, get into, kick in, penetrate, intromission, pierce, come_in, come in, enter, entry, sink, impenetrate"
例如,例如,lìrú,"for instance/example, e.g., such as"
得,得,děi,"should be, need děi: Duration: 1 second.0:01"
討論,讨论,tǎolùn,"to discuss, to take something up with someone, to talk about"
依,依,yī,"according to, judging by yī: Duration: 1 second.0:01"
作品,作品,zuòpǐn,"writing, musical composition, whole kit and caboodle, works (of literature, artwork, kit and caboodle, product, whole works, creation, full treatment, kit and boodle, whole kit and boodle, works (of literature/art), composition, thing, piece of music, workpiece, output, art), written material, opus, whole shebang, whole caboodle, production, whole kit, piece, workmanship, wo"
情形,情形,qíngxíng,"circumstance, trimness, event, trim, instance, state of affairs, case, circumstances, status, situation, condition"
資源,资源,zīyuán,"resource, natural resources, mine, resources"
原因,原因,yuányīn,"origin, causation, reason, wherefore, causal, breeder, spore, cause, causal agent, whence, causal agency, occasion, root, subject, causality, why, starter"
啦,啦,lā,particle: used when informing sb. of st.; indicating excitement/doubt/comfort/etc.
妳,妳,nǐ,you(female) nǐ: Duration: 2 seconds.0:02
運動,运动,yùndòng,"sports, athletics, exercise, movement, campaign"
觀念,观念,guānniàn,"conception, intension, theory, philosophy, idolum, connotation, idea, sense, presentation, notion, concept, construct, intellection, presentment, thought, notional, conceit"
給,给,gěi,"for, for the benefit of, by (in passive cons.) gěi: Duration: 2 seconds.0:02"
軟體,软体,ruǎntǐ,software
品質,品质,pǐnzhí,"calibre, appraisal, caliber, character, self, intrinsic, brew, quality, timber, sort"
經過,经过,jīngguò,"pass, go through, undergo"
如此,如此,rúcǐ,"thus, like this, such"
嗯,嗯,ēn,"O.K., How come, Huh, What, Why, Agreed!, well, um"
精神,精神,jīngshén,"god, guts, heart, pneuma, consciousness, vigor, life, energy, vim, courage, esprit, moral, get-up-and-go, ginger, vitality, Psyche, psyche, spunk, gumption, juice, sand, mind, mental, mens, mickey, mettle, nature, grit, oomph, genius, vigour, substance, psychic, backbone, nous, nerve, pazazz, essence, pep, spirit, inward, drive, push, soul, gist"
影響,影响,yǐngxiǎng,influence
之,之,zhī,"it, him, her, this zhī: Duration: 2 seconds.0:02"
過,过,guò,"pass, cross, transfer (e.g., ownership), undergo a process, go through, celebrate, observe guò: Duration: 1 second.0:01"
好像,好像,hǎoxiàng,"seem, be like"
成,成,chéng,"become, turn into chéng: Duration: 1 second.0:01"
參與,参与,cānyū,participate in
以後,以后,yǐhòu,"afterwards, later, future, in the future, hereafter"
於是,于是,yūshì,"conj.: thereupon, hence, consequently, as a result"
部分,部分,bùfèn,"partial, department, section, partialness, slice, pars, part, det.: part, percent, partage, sphere, component, divvy, segment, portion, fraction, sector, chapter, share, percentage, piece, division, sectional, parcel"
另外,另外,lìngwài,"conj.: in addition, besides, moreover"
公園,公园,gōngyuán,"common, green, garden, commons, park"
透過,透过,tòuguò,via
訓練,训练,xùnliàn,training
努力,努力,nǔlì,"make great effort, try hard"
研究,研究,yánjiù,"research, study"
具有,具有,jùyǒu,"be provided with, have, have got, possess, hold, possession, carry, inhere, bear"
共同,共同,gòngtóng,"common, joint"
所謂,所谓,suǒwèi,so-called
下,下,xià,"det.: next, second xià: Duration: 1 second.0:01"
行為,行为,xíngwéi,"fact, demeanor, form, deportment, dealing, behavior, doings, course, act, point, goings-on, demeanour, procedure, lapse, going, bearing, turn, behaviour, activity, ongoing, thing, human action, conduct, commitment, human activity, behavioral, agency, deed, comportment, action"
合作,合作,hézuò,"cooperate, collaborate, work together"
經,经,jīng,"as a result of, through, after jīng: Duration: 2 seconds.0:02"
合作,合作,hézuò,"cooperate, collaborate, work together"
目標,目标,mùbiāo,"polestar, objective, goal, bourn, object, meaning, aim, end point, target, cause, landmark, butt, lodestar, bull's eye, mark, tee, cynosure, end, bell ringer, loadstar, quaesitum, destination"
起來,起来,qǐlái,[aspect]
考慮,考虑,kǎolù,"think over, consider"
長,长,cháng,"long, be strong/good (in/at) cháng: Duration: 1 second.0:01"
意見,意见,yìjiàn,"latitude, point_of_view, estimation, sight, conceit, verdict, hypothesis, attitude, estimate, possibility, judgement, appraisal, ground, slant, differing opinion, ruling, complaint, thinking, suggestion, comment, advisement, mind, apprehension, say, vote, impression, deliverance, view, understanding, feeling, idea, notion, sentiment, judgment, advice, current, opinion, advert, theory, v"
辦法,办法,bànfǎ,"road, expedient, policy, agency, measure, way, method, means"
音樂,音乐,yīnyuè,music
連,连,lián,conj.: including
受,受,shòu,passive signifier shòu: Duration: 1 second.0:01
廠商,厂商,chǎngshāng,"factory owner, factories and stores, firm, maker, business organization, business concern, manufacturing business, concern, manufacturer, business"
隻,只,zhī,m.[general] zhī: Duration: 2 seconds.0:02
受到,受到,shòudào,"experience, receive, come in for, suffer, undergo, come_in_for, be given, come_to, be subjected to"
一切,一切,yīqiè,"det.: everything, every"
或是,或是,huòshì,"conj.: or, perhaps"
中央,中央,zhōngyāng,central authorities (of state/party/etc.)
某,某,mǒu,"det.: some, certain"
女性,女性,nǔxìng,"lady, female sex, womankind, feminie, female, sex, petticoat, femininity, female person, woman, she, patroness, womanhood, fair, feminine"
教學,教学,jiāoxué,teach and study
極,极,jí,"extraordinary, unusual, special, very, extremely, highly jí: Duration: 2 seconds.0:02"
獲得,获得,huòdé,"find, cop, acquirement, come_into, gain, draw, pick_up, pull, achievement, score, procure, come_by, get hold, purchase, nab, come upon, derive, latch, incur, achieve, make, bring, receive, arrive, come_out, pocket, obtain, luck into, sack, win, enter upon, pick up, garner, harvest, attain, come up, line up, extract, secure, possess, earn, reap, accrue, cover, take, acquire, get, arrive_at"
真的,真的,zhēnde,"really, truly, indeed"
路,路,lù,"road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class lù: Duration: 2 seconds.0:02"
來,来,lái,particle: used to denote the beginning of an action lái: Duration: 1 second.0:01
快,快,kuài,"fast, quick, quick-witted, ingenious, sharp (of knives), straightforward kuài: Duration: 1 second.0:01"
國小,国小,guóxiǎo,"primary/elementary school, primary school"
部份,部份,bùfèn,"composition, segment, section, side, portion, slice, proportion, part, det.: part, share, component, division, phase, place, piece"
工程,工程,gōngchéng,"process, construction, engineering, engineering project, project"
女人,女人,nǔrén,"jade, crumpet, female, female person, Gill, bitch, chick, fair, squaw, womenfolk, adult female, doll, momma, wench, skirt, womankind, girl, jill, wife, broad, petticoat, sister, woman, bimbo, bird, jane, she, hen, hairpin, dame, women"
舉行,举行,jǔxíng,hold (meeting/etc.)
句,句,jù,"sentence, m.[general], jù: Duration: 1 second.0:01"
只是,只是,zhǐshì,"merely, only, just, simply be"
段,段,duàn,m.[general] duàn: Duration: 2 seconds.0:02
根據,根据,gēnjù,"on the basis of, according to"
現象,现象,xiànxiàng,"phenomenon, phenomenal, appearance"
人民,人民,rénmín,"multitude, citizen, quarter, Volk, hoi polloi, subject, people, nationals, masses, the people, mass, demotic"
土地,土地,tǔdì,"country, acre, terra, soil, premise, realm, territory, dirt, local god of the land, farming, earth, ground, kingdom, holding, agrarian, solid ground, benefice, esplees, tract, village god, glebe, terra firma, land, dry land"
面對,面对,miànduì,"face up, stand up, face, look_out_on, confront, front, affront, envisage, accost, breast"
注意,注意,zhùyì,"pay attention to, take note of"
這裡,这里,zhèlǐ,"this place, there, here"
新聞,新闻,xīnwén,"unco, leak, intelligence, newsworthiness, witting, journalistic, information, journalism, courant, news"
繼續,继续,jìxù,"go, resume, keep_on, abide, come on, persist in, extend, run_on, run on, carry_on, stretch, sustain, pursue, keep going, continuance, get_along, get_on, remain, continue, keep_up, go ahead, keep up, come up, continuation, hold, carry, run, go_on, maintain, go on, bide, plow ahead, hold_on, piece, restart"
相信,相信,xiāngxìn,"deem, believe, credit, esteem, accredit, feel, trow, count, have faith in, guess, lippen, buy, be convinced of, hold, think, trust, accept, know, hone, believe_in, favour, believe in, hope"
政策,政策,zhèngcè,"statism, tack, line, policy, statecraft"
變成,变成,biànchéng,"grow_into, change into, go, form, grow into, change state, develop into, turn to, fall, turn_into, be, turn, become, turn into, grow, run, get"
計劃,计划,jìhuà,"plan, project, program"
強調,强调,qiángdiào,"underscore, spotlight, place emphasis on, point_up, highlight, point, point up, enforce, emphasise, urge, underline, overstress, give emphasis to, play up, keynote, insist, punctuate, accent, betone, foreground, emphasize, emphatic, stress, set off, overemphasize, accentuate, bring out"
學,学,xué,"study, learn, imitate, mimic xué: Duration: 1 second.0:01"
人士,人士,rénshì,"public figure, personage"
前,前,qián,front qián: Duration: 1 second.0:01
前,前,qián,"det.: former, preceding qián: Duration: 1 second.0:01"
存在,存在,cúnzài,"exist, be"
制度,制度,zhìdù,"ism, organization, dispensation, regimen, machine, regulations, form, system, regime, organisation, economy, institutional, institution"
意義,意义,yìyì,"importance, significance, denotation, purport, drift, signality, emptiness, meaning, construction, bearing, substance, import, effect, insignificancy, hang, signification, sense"
代表,代表,dàibiǎo,"representative, delegate"
課程,课程,kèchéng,"course of instruction, lesson, course, course of lectures, course of study, curricular, class, curricula, syllabus, curriculum, program"
該,该,gāi,"ought to, should gāi: Duration: 1 second.0:01"
沒,没,méi,"not have, there is not, be without méi: Duration: 2 seconds.0:02"
至,至,zhì,conj.: zhì: Duration: 2 seconds.0:02
需求,需求,xūqiú,"need, requisition, demand, want, desiderative, requirement, call"
人生,人生,rénshēng,"lifetime, life, lifespan, human life, time of life"
那些,那些,nǎxiē,det.: those
成功,成功,chénggōng,succeed
爸爸,爸爸,bàbà,"old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa"
產業,产业,chǎnyè,"estate, manufacture, industry, domain, manufacturing, property"
負責,负责,fùzé,"preside, be responsible for, see, entail, sponsor, be in charge of, blame, answer, undertake, liable, respond"
民間,民间,mínjiān,"grass roots, people-to-people, nongovernmental, among the people, folk, popular"
雖,虽,suī,"conj.: though, although, even if"
影響,影响,yǐngxiǎng,"influence, affect, effect"
直接,直接,zhíjiē,"direct, immediate"
幾乎,几乎,jīhū,"chiefly, anear, about, near, just_about, most, well-nigh, almost, closely, practically, intimately, all but, nearly, just about, virtually, much, nigh"
分,分,fèn,m.[general] fèn: Duration: 1 second.0:01
實際,实际,shíjì,"practical, literal"
團體,团体,tuántǐ,"fraternity, sect, phalanx, collective, body, group, sodality, element, organisation, corporation, confession, college, establishment, brotherhood, community, organization, squad, union, administration, society, army, commonwealth, consort, company, lineup, combine, governance, clan, combination, fellowship, organizational, bloc, team, party, connection, family, brass, squadron"
價值,价值,jiàzhí,"value, worth"
使得,使得,shǐdé,"render, wreck, compel, cause, make"
類,类,lèi,m.[kind] lèi: Duration: 1 second.0:01
形成,形成,xíngchéng,"take shape, form"
科技,科技,kējì,"technology, tech, engineering science, applied science, science and technology, technological, engineering"
這麼,这么,zhème,"so, such, this way, like this"
當,当,dāng,"assume office of, take charge of dāng: Duration: 1 second.0:01"
七,七,qī,det.: seven qī: Duration: 2 seconds.0:02
不但,不但,búdàn,conj.: not only
往,往,wǎng,go toward wǎng: Duration: 1 second.0:01
本身,本身,běnshēn,"per se, self, oneself, identity, itself"
標準,标准,biāozhǔn,"standard, criterion"
似乎,似乎,sìhū,"it seems, quasi, apparently, seemingly, as if"
應用,应用,yìngyòng,"application, use"
或者,或者,huòzhě,"conj.: or, either...or..."
動物,动物,dòngwù,"thing, critter, crittur, zoic, anthropomorphism, animal, deer, animate being, beast, creature, burrow, sire, worker, fauna, brute"
電話,电话,diànhuà,"blower, phone call, headphone, earpiece, telephone, telephone_call, buzz, earphone, horn, telephone set, phone_call, telephony, phone"
態度,态度,tàidù,"stance, treatment, demeanor, dealing, deportment, pose, behavior, manner, demeanour, way, bearing, attitude, air, behaviour, front, mien, conduct, mental attitude, approach, posture, address, position, bedside_manner, movement, gesture, comportment, presence, sort"
建設,建设,jiànshè,construction
事業,事业,shìyè,"proposition, task, pidgin, institution, undertaking, deed, facilities, life history, endeavour, endeavor, cause, career, project, action, enterprise"
老,老,lǎo,"old, aged;of long standing, outdated, tough, overgrown, dark (of colors) lǎo: Duration: 2 seconds.0:02"
那麼,那么,nàmo,so
常常,常常,chángcháng,"oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually"
字,字,zì,"graphic symbol, writing, pronunciation (of a word), form of a written character, receipt, printing type, script, name taken at the age of 20, courtesy name, wordage, character, grapheme, contract, scripts, symbolic representation, style of handwriting, word zì: Duration: 1 second.0:01"
坐,坐,zuò,"sit, take seat zuò: Duration: 1 second.0:01"
舉辦,举办,jǔbàn,"conduct, hold, run"
自我,自我,zìwǒ,"self, oneself"
有的,有的,yǒude,det : some
具,具,jù,"possess, have, provide, furnish jù: Duration: 1 second.0:01"
目的,目的,mùdì,"view, pretence, objective, goal, purport, intention, bourn, object, motive, motivation, meaning, aim, end point, hent, target, scope, sense of purpose, errand, purposefulness, sake, function, end, purpose, quaesitum, intent"
塊,块,kuài,m.[general] kuài: Duration: 1 second.0:01
條件,条件,tiáojiàn,"mood, formula, conditional, precondition, prerequisite, requisition, factor, qualification, requirement, stipulation, proviso, circumstances, provision, term, reservation, if, condition"
即使,即使,jíshǐ,"conj.: even, even if/though"
好,好,hǎo,"very, quite, good to, easy to hǎo: Duration: 2 seconds.0:02"
十分,十分,shífēn,"very, fully, utterly, extremely"
多少,多少,duōshǎo,"det.: how many, how much, many"
放,放,fàng,"loose, bloom, make longer, set ... free, let sb. have his own way, show, readjust, free, make larger, put in, fly, etc., release, discharge, leave alone, bung, lay aside, put, expansion, make longer/larger/etc., fling, localize, lend (money) at interest, let go, set, pasture, pose, set free, blossom, lay, let off, put out to pasture, send away, play, expand, make larger/etc., readjus fàng: Duration: 1 second.0:01"
又,又,yòu,"conj.: and, in addition, but, on the other hand"
電影,电影,diànyǐng,"cinematography, moving_picture, pix, kinema, picture, film, movie, moving picture, flick, cinema, motion_picture, cinematic, celluloid, picture show, motion picture, flicker"
科學,科学,kēxué,"ology, scientific, science, scientific knowledge"
執行,执行,zhíxíng,"carry out, execute"
邊,边,biān,"border, boundary biān: Duration: 1 second.0:01"
委員會,委员会,wěiyuánhuì,"board, soviet, commission, committee, court, citizens committee, mission, delegacy, deputation, delegation, council"
溝通,沟通,gōutōng,"communicate, link up"
開,开,kāi,"open, open up, reclaim (land), open out, come loose, start, begin, operate, turn on (light), run (business), hold (meeting/etc.), divide into, reveal kāi: Duration: 1 second.0:01"
一起,一起,yīqǐ,"in_chorus, together, in all, in the same place, holus-bolus, altogether, in company"
張,张,zhāng,m.[general] zhāng: Duration: 1 second.0:01
針對,针对,zhēnduì,"in the light of, in connection with"
員工,员工,yuángōng,"employee, personnel, reason, force, staff, cause"
引起,引起,yǐnqǐ,"elicit, beget, causation, give rise to, incite, pique, engender, bring_on, trigger, fire, compel, kick_up, superindividual, draw, spawn, invite, touch_off, occasion, lead, bring_about, procure, touch off, raise, enkindle, give, poke, produce, capture, generate, stir, arouse, excite, put forward, provoke, breed, bring, conjure up, grip, create, kindle, tempt, set_up, interest, give rise, enga"
自然,自然,zìrán,natural world
那麼,那么,nàmo,"like that, in that way"
安全,安全,ānquán,"safe, secure"
總統,总统,zǒngtǒng,president (of a republic)
此外,此外,cǐwài,"conj.: besides, in addition, moreover"
擁有,拥有,yǒngyǒu,"occupy, have, receive, aught, hold back, keep, keep back, owe, retain, own, possess, possession, hold, seize, take, acquire, corral, hold on"
並且,并且,bìngqiě,"conj.: and, besides, moreover"
事件,事件,shìjiàn,"fact, event, page, incidental, go, case, job, natural event, timing, proceedings, social occasion, happening, occurrence, matter, occasion, incident, shebang, affair, chapter, concernment"
設計,设计,shèjì,"plan, design"
研究所,研究所,yánjiùsuǒ,"graduate_school, research institute, school, laboratory, graduate school, institute"
語言,语言,yǔyán,"linguistic communication, lingual, language, idiom, tongue, oral communication, speech, perspicuity, lingo, contumely, Fortran, parole, natural language, spoken language, linguistic process"
嚴重,严重,yánzhòng,"serious, significant, acute, critical, severe, grave"
故事,故事,gùshì,"spiel, recital, relation, scam, rede, plot, yarn, narration, story, fiction, tale, history, legend, narrative"
學術,学术,xuéshù,"ology, academic, systematic learning, science, learning"
片,片,piàn,m.[general] piàn: Duration: 1 second.0:01
設備,设备,shèbèi,"installation, set, device, appointment, plant, fixing, system, appliance, fixture, fitting, accommodation, fitment, finishing, unit, furnishings, materiel, contrivance, paraphernalia, facilities, rig, equipage, setout, facility, fixings, equipment"
之外,之外,zhīwài,"beyond, apart from, excluding"
車,车,chē,vehicle chē: Duration: 1 second.0:01
基本,基本,jīběn,"fundamental, essential, main"
實在,实在,shízài,"indeed, really, honestly, in fact, as a matter of fact"
久,久,jiǔ,"for long time, of specified duration jiǔ: Duration: 2 seconds.0:02"
套,套,tào,m.[general]
達到,达到,dádào,"extend to, find, fulfil, compass, encompass, extend, gain, answer, achievement, succeed, fulfill, live_up_to, attainment, strain, bring_up, achieve, get to, touch, strive, make, accomplish, progress to, come, hit, come_out, obtain, reach, attain, clock_up, suffice, do, get, arrive_at"
改善,改善,gǎishàn,"improve, perfect"
死,死,sǐ,die sǐ: Duration: 2 seconds.0:02
結構,结构,jiégòu,"constitution, configuration, framing, structural, design, underframe, framework, construction, structure, schematism, economy, fabric, mechanics, composition, machinery, contexture, texture, constellation, fable, ordonnance, skeleton, organization, frame, architecture, chemistry, make"
住,住,zhù,"inhabit, cease, stay, visit, shack, dwell, stop, people, live, reside, populate, dig zhù: Duration: 1 second.0:01"
皆,皆,jiē,"all, everyone jiē: Duration: 1 second.0:01"
改變,改变,gǎibiàn,"change, transform"
拿,拿,ná,"take, hold, seize, capture ná: Duration: 2 seconds.0:02"
小組,小组,xiǎozǔ,"squad, section, unit, group"
支持,支持,zhīchí,"sustain, hold out, bear;support, back, stand by"
座,座,zuò,"fare, stand, base, constellation, footstall, pedestal, m.[general], , customer, Aquarius, seating, plinth, place, seat zuò: Duration: 1 second.0:01"
醫院,医院,yīyuàn,"spital, hospital, infirmary, hospice"
既,既,jì,conj.: since...then jì: Duration: 1 second.0:01
僅,仅,jǐn,"scantily, simply, alone, merely, barely, only, but, just jǐn: Duration: 2 seconds.0:02"
值得,值得,zhíde,"be worth, merit, pay, rate, behove, worthwhile, worth, worthy, deserve, call_for, command"
學者,学者,xuézhě,"academic, literate, pandit, letters, litterateur, learned person, literati, philomath, pundit, academician, faculty member, scholar, bookman, clerk, student, scholarly person, man of letters, man of learning, speleologist, doctor, clerisy, initiate, swami, punditry, savant, learned man, sophist"
八,八,bā,det.: eight
交通,交通,jiāotōng,"intercourse, commutation, transportation, communication, commuting, traffic, traffic_light, liaison man, communications, dealings, liaison"
階段,阶段,jiēduàn,"staged, period, phase angle, stage, gradation, level, peg, grade, remove, phase, leg, step"
就是,就是,jiùshì,"conj.: even if, even"
申請,申请,shēnqǐng,apply for
主管,主管,zhǔguǎn,person in charge
申請,申请,shēnqǐng,apply for
同,同,tóng,"det.: simialr, same"
感覺,感觉,gǎnjué,"sense perception, feeling"
電視,电视,diànshì,"TV, box, iconoscope, video, television set, teevee, orthicon, huckster, TV set, radiovision, television, telecasting, airwave, telly"
母親,母亲,mǔqīn,"venter, materfamilias, mother, mither, sultana, maternal, female parent, mater"
嘛,嘛,má,particle: used to persuade someone to do something; used to emphasize the obvious má: Duration: 2 seconds.0:02
香港,香港,xiānggǎng,Hong Kong
記者,记者,jìzhě,"journalist, writer, correspondent, newspaperwoman, newspaperman, gazetteer, newswriter, reporter, pressman, newshound, newsman, newsperson"
壓力,压力,yālì,"force per unit area, P, strain, overwhelming force, pressure sensation, burdensomeness, oppressiveness, pressure, onerousness, stress, compulsion, constraint, muscle, lading"
快樂,快乐,kuàilè,"happy, cheerful"
喝,喝,hē,drink hē: Duration: 1 second.0:01
敢,敢,gǎn,"dare, make bold, have courage to, be sure, have confidence to, venture, have the confidence to, be certain gǎn: Duration: 2 seconds.0:02"
院,院,yuàn,"public facility, college, courtyard, designation for certain government offices and pub, hospital, clinic, branch of government, university, institutes, compound, abbey, academy, institute, yard, educational institution, faculty"
也許,也许,yěxǔ,"possibly, peradventure, conceivably, assumedly, mayhap, doubtless, ablings, perhaps, perchance, potentially, probably, maybe, presumably, ablins, just"
人們,人们,rénmen,"workforce, hands, work force, folk, people, they, the people, men, manpower, common people"
談,谈,tán,"talk, chat tán: Duration: 1 second.0:01"
生產,生产,shēngchǎn,"produce, manufacture"
怕,怕,pà,"I'm afraid, dread, funk, I suppose, be afraid of, fear pà: Duration: 1 second.0:01"
就,就,jiù,"prep.: with regard to, concerning"
身體,身体,shēntǐ,"soma, system, physical structure, body, health, carcase, corpus, frame, person, somatic, organic structure, personage"
規定,规定,guīdìng,"rules, disciplines, regulations"
程度,程度,chéngdù,"latitude, rate, degree, point, measure, way, grade, gree, pitch, cut, length, plane, stage, level, extent, scale, notch"
積極,积极,jījí,"positive, active, energetic, vigorous"
知識,知识,zhīshì,"lear, know-how, understanding, ken, instruction, science, sophistication, consciousness, light, awareness, cognizance, knowledge, lore, mastery, know, cognition, acquaintanceship, mind, intellect, knowingness, equipment"
作為,作为,zuòwéi,"regard as, look on as, take for"
機構,机构,jīgòu,"internal structure of an organization, motion, gadget, instrumentality, institute, organ, mechanism, gear, representation, mechanics, machinery, apparatus, establishment, institution, means, organization, agency, setup, delegacy, outfit"
而是,而是,érshì,"conj.: if not A, then B"
鼓勵,鼓励,gǔlì,"encourage, urge"
角色,角色,jiǎosè,"theatrical role, character, persona, part, function, office, fictional character, actor, fictitious character, personage, role"
狀況,状况,zhuàngkuàng,"repair, background, picture, state (of affairs), state of affairs, status, gear, scene, setting, scope, condition, state, circumstance, trimness, context, showing, trim, factor, condition/state (of affairs), situation, shoes, consideration, place"
專家,专家,zhuānjiā,"guru, pundit, adept, expertise, professional person, specializer, specialist, proficient, whiz, oner, expert, swami, savant, dab, professional, authority, stunner, technician"
據,据,jù,"according to, on the grounds of jù: Duration: 1 second.0:01"
清楚,清楚,qīngchǔ,clear
不僅,不仅,bùjǐn,conj.: not only
比賽,比赛,bǐsài,"match, competition"
玩,玩,wán,"amuse oneself, treat lightly, have fun, resort to, enjoy, appreciate, play, toy, trifle with, employ, disport, shoot, amuse onself wán: Duration: 1 second.0:01"
效果,效果,xiàoguǒ,"operation, execution, result, effect, background, sound effects, purpose, point, background signal, fruitage, outcome, force, punch"
越,越,yuè,~A~B) the more A the more B yuè: Duration: 1 second.0:01
保護,保护,bǎohù,"protect, safeguard"
共,共,gòng,"totally, together, in all, in company, altogether gòng: Duration: 1 second.0:01"
開放,开放,kāifàng,"lift a ban/etc., be turned on, be in operation"
附近,附近,fùjìn,"neighborship, neighborhood, precinct, vicinity, neighbourhood"
上,上,shàng,"det.: preceding, previous shàng: Duration: 1 second.0:01"
父親,父亲,fùqīn,"parent, father, pere, Pa, begetter, governor, abba, male parent, pater, guv"
專業,专业,zhuānyè,professional
經費,经费,jīngfèi,"finances, monetary resource, expenses, expense, expenditure, pecuniary resource, fund, outlay, funds, outgo, cash in hand"
曾經,曾经,céngjīng,"in one case, , one time, formerly, syne, at one time, of all time, once, ever"
工作,工作,gōngzuò,work
願意,愿意,yuànyì,"will, be willing, please, wish, like, care"
分別,分别,fēnbié,"separately, respectively"
重視,重视,zhòngshì,"attach importance to, take sth. seriously, value"
不少,不少,bùshǎo,det.: a lot of
歡迎,欢迎,huānyíng,"invite, greet, take in, receive, welcome, gratulate, embrace, salute"
小孩,小孩,xiǎohái,"kid, tyke, encumbrance, kinchin, youngster, wean, small fry, chick, juvenile, imp, urchin, minor, nestling, prattler, tike, kiddie, tot, fry, bud, mammet, pinafore, nipper, enfant, mite, bairn, chicken, shaver, child, chit, kiddy, infant, tiddler, sprig"
小時,小时,xiǎoshí,hour
中國人,中国人,zhōngguórén,"Chinese person, Chinese people, Chinese"
顯示,显示,xiǎnshì,"demonstrate, argue, exhibit, prove, display, show, illustrate, manifest, demonstration, announce, stamp, unroll, witness, write, give, evince, dangle, betray, bespeak, say, profess, develop, indicate, signal, flaunt, read, register, manifestation, speak, reveal, evidence, tell, shew, proclaim, discover, stage, bear, establish, record, prognosticate, betoken, note, signalize"
中共,中共,zhōnggòng,Chinese Communist Party
出,出,chū,"produce, turn out, arise, happen chū: Duration: 1 second.0:01"
男人,男人,nánrén,"male, man, chap, mankind, buck, bastard, gentleman, jack, gent, men, blighter, cuss, hombre, lad, adult male, groom, husband, bimbo, dog, fellow, mon, menfolk, fella"
避免,避免,bìmiǎn,"forbear, preclude, refrain_from, forebear, escape, help, elude, leapfrog, refrain from, stave_off, evite, shun, obviate, avoid, evade, waive, help oneself, ward_off, ward, miss, avert, ward off, balk, refrain"
屬於,属于,shǔyū,"fall under, be part of, pertain, appertain, belong, relegate, fall into, belong_to, fall_under, reside, belong to, attach"
實施,实施,shíshī,"put into effect, implement"
聲音,声音,shēngyīn,"voice, vocal, language, huskiness, vox, vocalization, audio, noise, sonic, tone, sound, phone, audio frequency"
